dataset_id,repeat_id,fold_id,sample_id,split,class_label
GSE27272,1,1,GSM674181,train,non_smoker
GSE27272,1,1,GSM674182,train,smoker
GSE27272,1,1,GSM674183,train,non_smoker
GSE27272,1,1,GSM674184,train,non_smoker
GSE27272,1,1,GSM674185,train,non_smoker
GSE27272,1,1,GSM674186,train,non_smoker
GSE27272,1,1,GSM674187,train,non_smoker
GSE27272,1,1,GSM674188,train,smoker
GSE27272,1,1,GSM674189,train,smoker
GSE27272,1,1,GSM674190,train,non_smoker
GSE27272,1,1,GSM674191,train,non_smoker
GSE27272,1,1,GSM674192,train,non_smoker
GSE27272,1,1,GSM674193,train,non_smoker
GSE27272,1,1,GSM674194,train,non_smoker
GSE27272,1,1,GSM674195,train,non_smoker
GSE27272,1,1,GSM674196,train,smoker
GSE27272,1,1,GSM674197,train,smoker
GSE27272,1,1,GSM674198,train,non_smoker
GSE27272,1,1,GSM674199,train,smoker
GSE27272,1,1,GSM674200,train,non_smoker
GSE27272,1,1,GSM674202,train,non_smoker
GSE27272,1,1,GSM674203,train,non_smoker
GSE27272,1,1,GSM674204,train,non_smoker
GSE27272,1,1,GSM674205,train,non_smoker
GSE27272,1,1,GSM674206,train,non_smoker
GSE27272,1,1,GSM674208,train,non_smoker
GSE27272,1,1,GSM674209,train,non_smoker
GSE27272,1,1,GSM674210,train,non_smoker
GSE27272,1,1,GSM674212,train,non_smoker
GSE27272,1,1,GSM674213,train,smoker
GSE27272,1,1,GSM674214,train,non_smoker
GSE27272,1,1,GSM674215,train,smoker
GSE27272,1,1,GSM674216,train,smoker
GSE27272,1,1,GSM674217,train,smoker
GSE27272,1,1,GSM674218,train,non_smoker
GSE27272,1,1,GSM674219,train,non_smoker
GSE27272,1,1,GSM674220,train,non_smoker
GSE27272,1,1,GSM674221,train,non_smoker
GSE27272,1,1,GSM674222,train,smoker
GSE27272,1,1,GSM674223,train,non_smoker
GSE27272,1,1,GSM674224,train,smoker
GSE27272,1,1,GSM674225,train,non_smoker
GSE27272,1,1,GSM674226,train,non_smoker
GSE27272,1,1,GSM674227,train,smoker
GSE27272,1,1,GSM674229,train,non_smoker
GSE27272,1,1,GSM674230,train,non_smoker
