dataset_id,sample_id,raw_label,class_label,positive_label,negative_label
GSE10072,GSM254625,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254626,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254627,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254628,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254629,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254630,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254631,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254632,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254633,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254634,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254635,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254636,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254637,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254638,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254639,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254640,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254641,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254642,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254643,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254644,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254645,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254646,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254647,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254648,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254649,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254650,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254651,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254652,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254653,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254654,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254655,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254656,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254657,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254658,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254659,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254660,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254661,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254662,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254663,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254664,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254665,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254666,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254667,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254668,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254669,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254670,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254671,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254672,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254673,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254674,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254675,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254676,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254677,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254678,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254679,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254680,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254681,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254682,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254683,Normal Lung Tissue,normal,tumor,normal
GSE10072,GSM254684,Adenocarcinoma of the Lung,tumor,tumor,normal
GSE10072,GSM254685,Normal Lung Tissue,normal,tumor,normal
